v3 #th: 1 ; #ch: 1 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00002 s. ; Time/block:   0.02 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00005 s. ; Time/block:   0.05 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00007 s. ; Time/block:   0.07 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00010 s. ; Time/block:   0.10 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00012 s. ; Time/block:   0.12 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00014 s. ; Time/block:   0.14 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00017 s. ; Time/block:   0.17 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00019 s. ; Time/block:   0.19 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00021 s. ; Time/block:   0.21 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00021 s. ; Time/block:   0.21 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00023 s. ; Time/block:   0.23 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00028 s. ; Time/block:   0.28 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00032 s. ; Time/block:   0.32 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00043 s. ; Time/block:   0.43 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00029 s. ; Time/block:   0.29 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00031 s. ; Time/block:   0.31 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00033 s. ; Time/block:   0.33 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00038 s. ; Time/block:   0.38 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00051 s. ; Time/block:   0.51 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00040 s. ; Time/block:   0.40 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00055 s. ; Time/block:   0.55 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00047 s. ; Time/block:   0.47 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00051 s. ; Time/block:   0.51 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00052 s. ; Time/block:   0.52 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00051 s. ; Time/block:   0.51 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00059 s. ; Time/block:   0.59 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00060 s. ; Time/block:   0.60 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00061 s. ; Time/block:   0.61 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00063 s. ; Time/block:   0.63 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00069 s. ; Time/block:   0.69 ms.
