v3 #th: 1 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.95378 s. ; Time/block:   2.27 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.91533 s. ; Time/block:   4.56 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.86503 s. ; Time/block:   6.83 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.81807 s. ; Time/block:   9.10 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  9.76797 s. ; Time/block:  11.37 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.71895 s. ; Time/block:  13.64 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 13.67169 s. ; Time/block:  15.92 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.62244 s. ; Time/block:  18.19 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 17.57296 s. ; Time/block:  20.46 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 19.52442 s. ; Time/block:  22.73 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 21.47360 s. ; Time/block:  25.00 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 23.42408 s. ; Time/block:  27.27 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 25.37833 s. ; Time/block:  29.54 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 27.34538 s. ; Time/block:  31.83 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 29.28207 s. ; Time/block:  34.09 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 31.24622 s. ; Time/block:  36.38 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 33.24972 s. ; Time/block:  38.71 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 35.17941 s. ; Time/block:  40.95 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 37.07983 s. ; Time/block:  43.17 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 39.03403 s. ; Time/block:  45.44 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 40.99776 s. ; Time/block:  47.73 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 42.96116 s. ; Time/block:  50.01 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 44.92511 s. ; Time/block:  52.30 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 46.88089 s. ; Time/block:  54.58 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 48.85693 s. ; Time/block:  56.88 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 50.88166 s. ; Time/block:  59.23 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 52.80369 s. ; Time/block:  61.47 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 54.74587 s. ; Time/block:  63.73 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 56.72876 s. ; Time/block:  66.04 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 58.82007 s. ; Time/block:  68.48 ms.
