v3 #th: 1 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.01786 s. ; Time/block:   1.18 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  2.03614 s. ; Time/block:   2.37 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.05508 s. ; Time/block:   3.56 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  4.07392 s. ; Time/block:   4.74 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.09020 s. ; Time/block:   5.93 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  6.10843 s. ; Time/block:   7.11 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.13106 s. ; Time/block:   8.30 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  8.14954 s. ; Time/block:   9.49 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  9.19742 s. ; Time/block:  10.71 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 10.18732 s. ; Time/block:  11.86 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.19956 s. ; Time/block:  13.04 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 12.22240 s. ; Time/block:  14.23 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 13.23597 s. ; Time/block:  15.41 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 14.25555 s. ; Time/block:  16.60 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.28325 s. ; Time/block:  17.79 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 16.30642 s. ; Time/block:  18.98 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 17.30972 s. ; Time/block:  20.15 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 18.33342 s. ; Time/block:  21.34 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 19.40634 s. ; Time/block:  22.59 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 20.36645 s. ; Time/block:  23.71 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 21.38818 s. ; Time/block:  24.90 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 22.41281 s. ; Time/block:  26.09 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 23.42182 s. ; Time/block:  27.27 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 24.44899 s. ; Time/block:  28.46 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 25.45618 s. ; Time/block:  29.63 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 26.48522 s. ; Time/block:  30.83 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 27.58641 s. ; Time/block:  32.11 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 28.51920 s. ; Time/block:  33.20 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 29.52822 s. ; Time/block:  34.38 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 30.56444 s. ; Time/block:  35.58 ms.
