v3 #th: 2 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  2.02914 s. ; Time/block:   2.36 ms.
v3 #th: 2 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.99594 s. ; Time/block:   2.32 ms.
v3 #th: 2 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.93904 s. ; Time/block:   4.59 ms.
v3 #th: 2 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.96948 s. ; Time/block:   4.62 ms.
v3 #th: 2 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.90688 s. ; Time/block:   9.20 ms.
v3 #th: 2 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.88148 s. ; Time/block:  13.83 ms.
v3 #th: 2 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.80819 s. ; Time/block:  18.40 ms.
v3 #th: 2 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 19.69746 s. ; Time/block:  22.93 ms.
v3 #th: 2 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 23.71357 s. ; Time/block:  27.61 ms.
v3 #th: 2 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 27.65148 s. ; Time/block:  32.19 ms.
v3 #th: 2 ; #ch: 32 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 31.55727 s. ; Time/block:  36.74 ms.
v3 #th: 2 ; #ch: 36 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 35.47167 s. ; Time/block:  41.29 ms.
v3 #th: 2 ; #ch: 40 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 39.39700 s. ; Time/block:  45.86 ms.
