v3 #th: 1 ; #ch: 1 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00009 s. ; Time/block:   0.09 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00008 s. ; Time/block:   0.08 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00012 s. ; Time/block:   0.12 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00018 s. ; Time/block:   0.18 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00021 s. ; Time/block:   0.21 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00015 s. ; Time/block:   0.15 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00019 s. ; Time/block:   0.19 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00025 s. ; Time/block:   0.25 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00028 s. ; Time/block:   0.28 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00028 s. ; Time/block:   0.28 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00028 s. ; Time/block:   0.28 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00034 s. ; Time/block:   0.34 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00035 s. ; Time/block:   0.35 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00048 s. ; Time/block:   0.48 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00041 s. ; Time/block:   0.41 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00056 s. ; Time/block:   0.56 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00054 s. ; Time/block:   0.54 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00046 s. ; Time/block:   0.46 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00055 s. ; Time/block:   0.55 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00051 s. ; Time/block:   0.51 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00054 s. ; Time/block:   0.54 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00060 s. ; Time/block:   0.60 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00060 s. ; Time/block:   0.60 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00068 s. ; Time/block:   0.68 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00076 s. ; Time/block:   0.76 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00066 s. ; Time/block:   0.66 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00075 s. ; Time/block:   0.75 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00076 s. ; Time/block:   0.76 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00075 s. ; Time/block:   0.75 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 1 ; bsize: 1024 ; nb: 1024; #samples: 1024 ; Tot time:  0.00079 s. ; Time/block:   0.79 ms.
