v3 #th: 1 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.92375 s. ; Time/block:   2.24 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.83041 s. ; Time/block:   4.46 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.59289 s. ; Time/block:   6.51 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.46450 s. ; Time/block:   8.69 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  9.29606 s. ; Time/block:  10.82 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.22526 s. ; Time/block:  13.07 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 13.05785 s. ; Time/block:  15.20 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 14.84799 s. ; Time/block:  17.29 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 16.77506 s. ; Time/block:  19.53 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 18.75509 s. ; Time/block:  21.83 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 20.44228 s. ; Time/block:  23.80 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 22.34886 s. ; Time/block:  26.02 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 24.12247 s. ; Time/block:  28.08 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 26.03073 s. ; Time/block:  30.30 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 27.97727 s. ; Time/block:  32.57 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 29.81829 s. ; Time/block:  34.71 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 31.69667 s. ; Time/block:  36.90 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 33.48595 s. ; Time/block:  38.98 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 35.27514 s. ; Time/block:  41.07 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 37.33528 s. ; Time/block:  43.46 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 38.97937 s. ; Time/block:  45.38 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 40.81424 s. ; Time/block:  47.51 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 42.70513 s. ; Time/block:  49.71 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 44.52318 s. ; Time/block:  51.83 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 46.38613 s. ; Time/block:  54.00 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 48.35184 s. ; Time/block:  56.29 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 50.22840 s. ; Time/block:  58.47 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 51.98307 s. ; Time/block:  60.52 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 53.88158 s. ; Time/block:  62.73 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 55.67524 s. ; Time/block:  64.81 ms.
