v3 #th: 1 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.19504 s. ; Time/block:   1.39 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  2.01030 s. ; Time/block:   2.34 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.05321 s. ; Time/block:   3.55 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.92650 s. ; Time/block:   4.57 ms.
v3 #th: 1 ; #ch: 5 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  4.87383 s. ; Time/block:   5.67 ms.
v3 #th: 1 ; #ch: 6 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.86696 s. ; Time/block:   6.83 ms.
v3 #th: 1 ; #ch: 7 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  6.80296 s. ; Time/block:   7.92 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.86467 s. ; Time/block:   9.16 ms.
v3 #th: 1 ; #ch: 9 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  8.81019 s. ; Time/block:  10.26 ms.
v3 #th: 1 ; #ch: 10 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  9.85992 s. ; Time/block:  11.48 ms.
v3 #th: 1 ; #ch: 11 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 10.75083 s. ; Time/block:  12.52 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.61814 s. ; Time/block:  13.53 ms.
v3 #th: 1 ; #ch: 13 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 12.70128 s. ; Time/block:  14.79 ms.
v3 #th: 1 ; #ch: 14 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 13.58548 s. ; Time/block:  15.82 ms.
v3 #th: 1 ; #ch: 15 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 14.63256 s. ; Time/block:  17.03 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.60795 s. ; Time/block:  18.17 ms.
v3 #th: 1 ; #ch: 17 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 16.61339 s. ; Time/block:  19.34 ms.
v3 #th: 1 ; #ch: 18 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 17.46154 s. ; Time/block:  20.33 ms.
v3 #th: 1 ; #ch: 19 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 18.48432 s. ; Time/block:  21.52 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 19.43441 s. ; Time/block:  22.62 ms.
v3 #th: 1 ; #ch: 21 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 20.36702 s. ; Time/block:  23.71 ms.
v3 #th: 1 ; #ch: 22 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 21.32832 s. ; Time/block:  24.83 ms.
v3 #th: 1 ; #ch: 23 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 22.29967 s. ; Time/block:  25.96 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 23.34678 s. ; Time/block:  27.18 ms.
v3 #th: 1 ; #ch: 25 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 24.21110 s. ; Time/block:  28.19 ms.
v3 #th: 1 ; #ch: 26 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 25.25460 s. ; Time/block:  29.40 ms.
v3 #th: 1 ; #ch: 27 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 26.24883 s. ; Time/block:  30.56 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 27.18896 s. ; Time/block:  31.65 ms.
v3 #th: 1 ; #ch: 29 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 28.38462 s. ; Time/block:  33.04 ms.
v3 #th: 1 ; #ch: 30 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 29.17438 s. ; Time/block:  33.96 ms.
